单位,%,亿元,%,1973年3月=100,%,%,%,%,%,上年同月=100,%,%,上年同期=100,%,亿元,亿元,%,%,%,%,%,亿元,亿元,%,%,点,%,%,%,,
指标名称,逆回购:7日:回购利率,货币投放量:逆回购,中期借贷便利(MLF):操作利率:3个月,美国:美元指数,DR001,DR007,FR007,CPI:当月同比,CPI:环比,CPI:当月值,PPI:当月同比,PPI:环比,二手住房价格指数(上年同期=100),制造业PMI,社会融资规模增量:当月值:日:分拆,社会融资规模增量:信托贷款:当月值:日:分拆,M1(货币):同比,M2(货币和准货币):同比,社会融资规模存量:信托贷款:期末同比,Shibor:隔夜,央票:3月:中标利率,债券发行量:同业存单:当月值:日:分拆,全国银行间同业拆借交易:交易量:7天:日:分拆,IBO001,IBO007,上证综合指数,R001,R007,中债商业银行同业存单到期收益率(AAA):1年,Ncd 3m,Ncd
频率,日,日,日,日,日,日,日,月,月,月,月,月,月,月,日,日,月,月,月,日,日,日,日,日,日,日,日,日,日,,
指标ID,L015211422,M003135208,M004202867,G002600885,L001618739,L001619493,L004317616,M002826730,M002826785,M001624503,M002826865,M002842661,S004345365,M002043802,formula:eyJ6Yl9zdHIiOiI0ODkxMDE1IiwiZGlzcGxheWlkIjoiVThiNWRhMjNjLTU5OTgtNDAzZS1hNTRlLTY1MzUxY2IwMWQ1NyIsImZvcm11bGEiOiJbe1wiZm9ybXVsYVR5cGVcIjpcIjJcIixcInRhcmdldEZyZXFcIjpcImRheVwiLFwiaXNBbGxcIjoxLFwidHlwZV8xXCI6XCJcIixcImZ1bmNcIjpcInNwaW5cIixcIm51bVwiOm51bGwsXCJmcmVxXCI6XCJtb25cIn1dIiwiaW5kZXhJbmZvIjp7ImNvdW50cnkiOiLkuK3lm70iLCJkYXRhc291cmNlIjoi5Lit5Zu95Lq65rCR6ZO26KGMKOiuoeeulykiLCJkYXRlYmVnaW4iOiIyMDAyMDEzMSIsImRhdGVlbmQiOiIyMDI1MDUzMSIsImVkYXRlIjoiMjAyNTA1MzEiLCJmb3JtdWxhIjoiW3tcImZvcm11bGFUeXBlXCI6XCIyXCIsXCJ0YXJnZXRGcmVxXCI6XCJkYXlcIixcImlzQWxsXCI6MSxcInR5cGVfMVwiOlwiXCIsXCJmdW5jXCI6XCJzcGluXCIsXCJudW1cIjpudWxsLFwiZnJlcVwiOlwibW9uXCJ9XSIsImZvcm11bGFTaG93IjoiREFJTFkoTTAwNDg5MTAxNSxTUElOKSIsImZyZXF1ZW5jeSI6IkQiLCJmcmVxdWVuY3lFbiI6Ik0iLCJmcmVxdWVuY3laaENOIjoi5pelIiwibmFtZSI6IuekvuS8muiejei1hOinhOaooeWinumHjzrlvZPmnIjlgLw65pelOuWIhuaLhiIsInJ0aW1lIjoiMjAyNTA2MTYiLCJzZGF0ZSI6IjIwMDIwMTMxIiwidW5pdCI6IuS6v+WFgyIsImlkIjoiNDg5MTAxNSIsInBhcmVudF9pZCI6IjQzOTA2NDMifX0=,formula:eyJ6Yl9zdHIiOiIyOTE3NTcwIiwiZGlzcGxheWlkIjoiVTIwNTcyMjc5LTFjNmEtNGM1MC04ZWQwLTQyZDYwYjA5MGRjNCIsImZvcm11bGEiOiJbe1wiZm9ybXVsYVR5cGVcIjpcIjJcIixcInRhcmdldEZyZXFcIjpcImRheVwiLFwiaXNBbGxcIjoxLFwidHlwZV8xXCI6XCJcIixcImZ1bmNcIjpcInNwaW5cIixcIm51bVwiOm51bGwsXCJmcmVxXCI6XCJtb25cIn1dIiwiaW5kZXhJbmZvIjp7ImNvdW50cnkiOiLkuK3lm70iLCJkYXRhc291cmNlIjoi5Lit5Zu95Lq65rCR6ZO26KGMKOiuoeeulykiLCJkYXRlYmVnaW4iOiIyMDA2MDEzMSIsImRhdGVlbmQiOiIyMDI1MDUzMSIsImVkYXRlIjoiMjAyNTA1MzEiLCJmb3JtdWxhIjoiW3tcImZvcm11bGFUeXBlXCI6XCIyXCIsXCJ0YXJnZXRGcmVxXCI6XCJkYXlcIixcImlzQWxsXCI6MSxcInR5cGVfMVwiOlwiXCIsXCJmdW5jXCI6XCJzcGluXCIsXCJudW1cIjpudWxsLFwiZnJlcVwiOlwibW9uXCJ9XSIsImZvcm11bGFTaG93IjoiREFJTFkoTTAwMjkxNzU3MCxTUElOKSIsImZyZXF1ZW5jeSI6IkQiLCJmcmVxdWVuY3lFbiI6Ik0iLCJmcmVxdWVuY3laaENOIjoi5pelIiwibmFtZSI6IuekvuS8muiejei1hOinhOaooeWinumHjzrkv6HmiZjotLfmrL465b2T5pyI5YC8OuaXpTrliIbmi4YiLCJydGltZSI6IjIwMjUwNjEzIiwic2RhdGUiOiIyMDA2MDEzMSIsInVuaXQiOiLkur/lhYMiLCJpZCI6IjI5MTc1NzAiLCJwYXJlbnRfaWQiOiIyODU0MTkxIn19,M001625224,M001625222,M004323993,M002816448,M002816566,formula:eyJ6Yl9zdHIiOiI0MzcwMTUyIiwiZGlzcGxheWlkIjoiVTgwNDJkOTYzLTQ5ZGItNDhlZC1hMTgzLWRlZDU1ODhmZTM4NyIsImZvcm11bGEiOiJbe1wiZm9ybXVsYVR5cGVcIjpcIjJcIixcInRhcmdldEZyZXFcIjpcImRheVwiLFwiaXNBbGxcIjoxLFwidHlwZV8xXCI6XCJcIixcImZ1bmNcIjpcInNwaW5cIixcIm51bVwiOm51bGwsXCJmcmVxXCI6XCJtb25cIn1dIiwiaW5kZXhJbmZvIjp7ImNvdW50cnkiOiLkuK3lm70iLCJkYXRhc291cmNlIjoi5ZCM6Iqx6aG66YeR6J6NKOiuoeeulykiLCJkYXRlYmVnaW4iOiIyMDE0MTIzMSIsImRhdGVlbmQiOiIyMDI1MDUzMSIsImVkYXRlIjoiMjAyNTA1MzEiLCJmb3JtdWxhIjoiW3tcImZvcm11bGFUeXBlXCI6XCIyXCIsXCJ0YXJnZXRGcmVxXCI6XCJkYXlcIixcImlzQWxsXCI6MSxcInR5cGVfMVwiOlwiXCIsXCJmdW5jXCI6XCJzcGluXCIsXCJudW1cIjpudWxsLFwiZnJlcVwiOlwibW9uXCJ9XSIsImZvcm11bGFTaG93IjoiREFJTFkoTTAwNDM3MDE1MixTUElOKSIsImZyZXF1ZW5jeSI6IkQiLCJmcmVxdWVuY3lFbiI6Ik0iLCJmcmVxdWVuY3laaENOIjoi5pelIiwibmFtZSI6IuWAuuWIuOWPkeihjOmHjzrlkIzkuJrlrZjljZU65b2T5pyI5YC8OuaXpTrliIbmi4YiLCJydGltZSI6IjIwMjUwNjE4Iiwic2RhdGUiOiIyMDE0MTIzMSIsInVuaXQiOiLkur/lhYMiLCJpZCI6IjQzNzAxNTIiLCJwYXJlbnRfaWQiOiI0MzY0MTYyIn19,formula:eyJ6Yl9zdHIiOiIyODM4NjQ4IiwiZGlzcGxheWlkIjoiVWJiMGYyMTQ5LTA5NzEtNGEwZC05MTljLTM1MjRhZDdiMzU0NyIsImZvcm11bGEiOiJbe1wiZm9ybXVsYVR5cGVcIjpcIjJcIixcInRhcmdldEZyZXFcIjpcImRheVwiLFwiaXNBbGxcIjoxLFwidHlwZV8xXCI6XCJcIixcImZ1bmNcIjpcInNwaW5cIixcIm51bVwiOm51bGwsXCJmcmVxXCI6XCJtb25cIn1dIiwiaW5kZXhJbmZvIjp7ImNvdW50cnkiOiLkuK3lm70iLCJkYXRhc291cmNlIjoi5Lit5Zu95Lq65rCR6ZO26KGMKOiuoeeulykiLCJkYXRlYmVnaW4iOiIyMDAyMDEzMSIsImRhdGVlbmQiOiIyMDI1MDYzMCIsImVkYXRlIjoiMjAyNTA2MzAiLCJmb3JtdWxhIjoiW3tcImZvcm11bGFUeXBlXCI6XCIyXCIsXCJ0YXJnZXRGcmVxXCI6XCJkYXlcIixcImlzQWxsXCI6MSxcInR5cGVfMVwiOlwiXCIsXCJmdW5jXCI6XCJzcGluXCIsXCJudW1cIjpudWxsLFwiZnJlcVwiOlwibW9uXCJ9XSIsImZvcm11bGFTaG93IjoiREFJTFkoUzAwMjgzODY0OCxTUElOKSIsImZyZXF1ZW5jeSI6IkQiLCJmcmVxdWVuY3lFbiI6Ik0iLCJmcmVxdWVuY3laaENOIjoi5pelIiwibmFtZSI6IuWFqOWbvemTtuihjOmXtOWQjOS4muaLhuWAn+S6pOaYkzrkuqTmmJPph486N+WkqTrml6U65YiG5ouGIiwicnRpbWUiOiIyMDI1MDcwMSIsInNkYXRlIjoiMjAwMjAxMzEiLCJ1bml0Ijoi5Lq/5YWDIiwiaWQiOiIyODM4NjQ4IiwicGFyZW50X2lkIjoiMjgzODY0NCJ9fQ==,L001619370,L001619053,M002845711,L004109429,L004109430,L004428055,,
2010-06-01,0.00,0.00,,86.89,,,3.20,,,,,,,,339.87,35.90,,,,2.74,,,77.70,2.75,3.20,"2,568.28",2.74,3.19,,,
2010-06-02,,0.00,,86.74,,,3.28,,,,,,,,339.87,35.90,,,,2.77,,,77.70,2.76,3.27,"2,571.42",2.76,3.28,,,
2010-06-03,,0.00,,87.21,,,2.95,,,,,,,,339.87,35.90,,,,2.75,,,77.70,2.75,3.21,"2,552.66",2.74,3.15,,,
2010-06-04,,0.00,,88.30,,,2.22,,,,,,,,339.87,35.90,,,,2.10,1.53,,77.70,2.10,2.22,"2,553.59",2.10,2.21,,,
2010-06-05,,0.00,,88.30,,,2.22,,,,,,,,339.87,35.90,,,,2.10,1.53,,77.70,2.10,2.22,"2,553.59",2.10,2.21,,,
2010-06-06,,0.00,,88.30,,,2.22,,,,,,,,339.87,35.90,,,,2.10,1.53,,77.70,2.10,2.22,"2,553.59",2.10,2.21,,,
2010-06-07,,0.00,,88.48,,,1.93,,,,,,,,339.87,35.90,,,,1.70,1.53,,77.70,1.71,1.93,"2,511.73",1.72,1.92,,,
